debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,WISN,ABC,Milwaukee,local,World_News_Now,"09/27/2016 08:02:03",287.1,3603.6,6.6999999999999,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/3603.6/end/3610.3,"THIS MOMENT AS WE WELCOME THE CANDIDATES, DEMOCRATIC NOMINEE FOR PRESIDENT OF THE UNITED STATES, HILLARY CLINTON."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,WISN,ABC,Milwaukee,local,World_News_Now,"09/27/2016 07:43:42",702.7,2502.4,7.8,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/2502.4/end/2510.2,"DIFFERENT PERSPECTIVES. I UNDERSTAND THAT. YOU KNOW, DONALD WAS VERY FORTUNATE IN HIS LIFE AND THAT'S ALL TO HIS BENEFIT."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,WISN,ABC,Milwaukee,local,World_News_Now,"09/27/2016 08:07:10",702.9,3910.1,15.2,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/3910.1/end/3925.3,"DIFFERENT PERSPECTIVES. I UNDERSTAND THAT. YOU KNOW, DONALD WAS VERY FORTUNATE IN HIS LIFE AND THAT'S ALL TO HIS BENEFIT. HE STARTED HIS BUSINESS WITH $14 MILLION, BORROWED FROM HIS FATHER, AND HE REALLY BELIEVES THAT THE MORE YOU HELP"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,WISN,ABC,Milwaukee,local,World_News_Now,"09/27/2016 07:32:23",827.2,1823.5,5.1,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/1823.5/end/1828.6,"BUT THE POLITICIANS HAVEN'T DONE ANYTHING ABOUT IT. NOW, IN ALL FAIRNESS TO SECRETARY CLINTON,"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,WISN,ABC,Milwaukee,local,World_News_Now,"09/27/2016 07:32:36",1156.7,1836.9,21.3,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/1836.9/end/1858.2,"THEY'RE GONE. AND HILLARY, I JUST ASK YOU THIS, YOU'VE BEEN DOING THIS FOR 30 YEARS. WHY ARE YOU JUST THINKING ABOUT THESE SOLUTIONS RIGHT NOW? FOR 30 YEARS YOU'VE BEEN DOING IT AND NOW YOU'RE JUST STARTING TO THINK OF SOLUTIONS. >> WELL, ACTUALLY -- >> I WILL BRING -- EXCUSE ANY. I WILL BRING BACK JOBS. YOU CAN'T BRING BACK JOBS. >> WELL, ACTUALLY, I"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,WISN,ABC,Milwaukee,local,World_News_Now,"09/27/2016 09:00:19",1170.1,7099.7,3.4,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/7099.7/end/7103.1,">> I WILL BRING --"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,WISN,ABC,Milwaukee,local,World_News_Now,"09/27/2016 08:33:03",1325.2,5463.3,3,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/5463.3/end/5466.3,"STANDARD OF TRADE DEALS. SAID IT WAS THE FINEST DEAL YOU'VE EVER SEEN."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,WISN,ABC,Milwaukee,local,World_News_Now,"09/27/2016 07:03:16",1499.2,76.4,2,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/76.4/end/78.4,"SEE. >> WILL NOT ADD A"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,WISN,ABC,Milwaukee,local,World_News_Now,"09/27/2016 08:02:51",1499.2,3651.5,2,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/3651.5/end/3653.5,"SEE. >> WILL NOT ADD A"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,WISN,ABC,Milwaukee,local,World_News_Now,"09/27/2016 07:33:40",1550.2,1900.4,12.5,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/1900.4/end/1912.9,"DOUGLAS MacARTHUR WOULD LIKE THAT TOO MUCH. >> THE NEXT SEGMENT -- >> AT LEAST I HAVE A PLAN TO FIGHT ISIS. >> NO, NO, YOU'RE TELLING THE ENEMY EVERYTHING I WANT TO DO. >> NO, WE'RE NOT. >> SEE, YOU TELLING THE ENEMY EVERYTHING YOU WANT TO DO. NO WONDER YOU'VE,"
