debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161010_190000_Charlie_Rose,KQED,PBS,SF/Oakland/SJ,local,Charlie_Rose,"10/10/2016 19:00:00",0,0.1,3.6,https://archive.org/details/KQED_20161010_190000_Charlie_Rose#start/0.1/end/3.7,
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161011_002800_Ready_Jet_Go,KQED,PBS,SF/Oakland/SJ,local,Ready_Jet_Go,"10/11/2016 01:00:00",0,1920.3,2.9,https://archive.org/details/KQED_20161011_002800_Ready_Jet_Go#start/1920.3/end/1923.2,
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161010_030000_Masterpiece,KQED,PBS,SF/Oakland/SJ,local,Masterpiece,"10/10/2016 03:00:03",0,3.6,3.2,https://archive.org/details/KQED_20161010_030000_Masterpiece#start/3.6/end/6.8,
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161010_220000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/10/2016 22:00:00",0,0.1,3,https://archive.org/details/KQED_20161010_220000_PBS_NewsHour#start/0.1/end/3.1,
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161010_220000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/10/2016 22:01:00",51.6,60.4,4.1,https://archive.org/details/KQED_20161010_220000_PBS_NewsHour#start/60.4/end/64.5,"SOME QUESTIONS ABOUT ME."
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161010_220000_PBS_NewsHour,KQED,PBS,SF/Oakland/SJ,local,PBS_NewsHour,"10/10/2016 22:06:42",1374,402.3,11.4,https://archive.org/details/KQED_20161010_220000_PBS_NewsHour#start/402.3/end/413.7,"I HATE TO SAY IT. IS BUT IF I WIN, I AM GOING TO INSTRUCT MY ATTORNEY GENERAL TO GET A SPECIAL PROSECUTOR TO LOOK"
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161010_043000_Masterpiece,KQED,PBS,SF/Oakland/SJ,local,Masterpiece,"10/10/2016 05:59:46",1.2,5386.9,2.6,https://archive.org/details/KQED_20161010_043000_Masterpiece#start/5386.9/end/5389.5,
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161010_183000_Dinosaur_Train,KQED,PBS,SF/Oakland/SJ,local,Dinosaur_Train,"10/10/2016 19:00:04",1.8,1804.4,2,https://archive.org/details/KQED_20161010_183000_Dinosaur_Train#start/1804.4/end/1806.4,
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161011_030000_Antiques_Roadshow,KQED,PBS,SF/Oakland/SJ,local,Antiques_Roadshow,"10/11/2016 03:00:05",1.8,5.4,2,https://archive.org/details/KQED_20161011_030000_Antiques_Roadshow#start/5.4/end/7.4,
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KQED_20161010_063000_Film_School_Shorts,KQED,PBS,SF/Oakland/SJ,local,Film_School_Shorts,"10/10/2016 07:00:14",13.2,1814.5,34.5,https://archive.org/details/KQED_20161010_063000_Film_School_Shorts#start/1814.5/end/1849,">> I KNOW ABOUT ISIS THAN THE GENERALS DO. >> I HAVE SAT AT THAT TABLE IN THE SITUATION ROOM. >> NOBODY KNOWS THE SYSTEM BETTER THAN ME. I ALONE CAN FIX IT. >> I'M GOING TO CLOSE MY CAMPAIGN FOCUSED ON OPPORTUNITIES FOR KIDS AND FAIRNESS FOR FAMILIES. >> HILLARY FAILED ON THE ECONOMY. EVERYTHING SHE TOUCHED DIDN'T WORK OUT. >> EVEN IF YOU'RE TOTALLY"
