debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161021_000000_Anderson_Cooper_360,CNNW,CNN,SF/Oakland/SJ,cable,Anderson_Cooper_360,"10/21/2016 00:43:17",1124.3,2597.1,6.4,https://archive.org/details/CNNW_20161021_000000_Anderson_Cooper_360#start/2597.1/end/2603.5,">> I THINK IT'S TERRIBLE IF YOU GO WITH WHAT HILLARY IS SAYING IN THE 9th MONTH YOU CAN TAKE"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161021_000000_Anderson_Cooper_360,CNNW,CNN,SF/Oakland/SJ,cable,Anderson_Cooper_360,"10/21/2016 00:05:49",1477,349.7,4.6,https://archive.org/details/CNNW_20161021_000000_Anderson_Cooper_360#start/349.7/end/354.3,"PERSON, ANYBODY WHO SHOULD BE DEPORTED WE SHOULD DEPORT THEM. WHEN IT COMES TO THE WALL THAT"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161021_000000_Anderson_Cooper_360,CNNW,CNN,SF/Oakland/SJ,cable,Anderson_Cooper_360,"10/21/2016 00:41:27",3175.9,2487.2,6.3,https://archive.org/details/CNNW_20161021_000000_Anderson_Cooper_360#start/2487.2/end/2493.5,"WORSE. MR. TRUMP, YOU GO FIRST. >> FIRST OF ALL, THIS HAS BEEN"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161021_000000_Anderson_Cooper_360,CNNW,CNN,SF/Oakland/SJ,cable,Anderson_Cooper_360,"10/21/2016 00:03:26",3207.5,206.8,6.2,https://archive.org/details/CNNW_20161021_000000_Anderson_Cooper_360#start/206.8/end/213,"BE VIOLENT, CAUSE FIGHTS, DO BAD THINGS. I WOULD SAY THE ONLY WAIL -- BECAUSE THEY'RE ALL TOTALLY"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161021_000000_Anderson_Cooper_360,CNNW,CNN,SF/Oakland/SJ,cable,Anderson_Cooper_360,"10/21/2016 00:05:56",3942.3,356.3,6.3,https://archive.org/details/CNNW_20161021_000000_Anderson_Cooper_360#start/356.3/end/362.6,"BUT YOU WON'T CHANGE THE LAW BECAUSE YOU'VE TAKEN SO MUCH MONEY. I SAT IN MY APARTMENT TODAY ON"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161021_000000_Anderson_Cooper_360,CNNW,CNN,SF/Oakland/SJ,cable,Anderson_Cooper_360,"10/21/2016 00:02:24",4098.5,144.3,11.8,https://archive.org/details/CNNW_20161021_000000_Anderson_Cooper_360#start/144.3/end/156.1,"THE LOSER CONCEDES TO THE WINNER, NOT SAYING THAT YOU'RE NECESSARILY GOING TO BE THE LOSER OR THE WINNER. BUILT THAT THE LOSER CONCEDES TO THE WINNER AND THAT THE COUNTRY COMES TOGETHER IN PART FOR THE"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161021_000000_Anderson_Cooper_360,CNNW,CNN,SF/Oakland/SJ,cable,Anderson_Cooper_360,"10/21/2016 00:36:09",4107.5,2169,5.3,https://archive.org/details/CNNW_20161021_000000_Anderson_Cooper_360#start/2169/end/2174.3,"COMES TOGETHER IN PART FOR THE GOOD OF THE COUNTRY. ARE YOU SAYING YOU'RE NOT"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161021_000000_Anderson_Cooper_360,CNNW,CNN,SF/Oakland/SJ,cable,Anderson_Cooper_360,"10/21/2016 00:06:18",4198.9,378.3,8.5,https://archive.org/details/CNNW_20161021_000000_Anderson_Cooper_360#start/378.3/end/386.8,"LET'S BE CLEAR ABOUT WHAT HE IS SAYING WHAT THAT MEANS. HE IS DENIGRATING TALKING DOWN OUR DEMOCRACY I FOR ONE AM"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161021_000000_Anderson_Cooper_360,CNNW,CNN,SF/Oakland/SJ,cable,Anderson_Cooper_360,"10/21/2016 00:02:54",5534.4,174.1,8.1,https://archive.org/details/CNNW_20161021_000000_Anderson_Cooper_360#start/174.1/end/182.2,"COMMITMENT TO RAISE TAXES ON THE WEALTHY. MY SOCIAL SECURITY PAYROLL CONTRIBUTION WILL GO UP AS WILL"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161021_000000_Anderson_Cooper_360,CNNW,CNN,SF/Oakland/SJ,cable,Anderson_Cooper_360,"10/21/2016 00:40:44",5534.5,2444.3,8.9,https://archive.org/details/CNNW_20161021_000000_Anderson_Cooper_360#start/2444.3/end/2453.2,"COMMITMENT TO RAISE TAXES ON THE WEALTHY. MY SOCIAL SECURITY PAYROLL CONTRIBUTION WILL GO UP AS WILL"
